controle,ano,titulo,titulo_do,bairro_fato_original,bairro
63200791-2022,2022,Homicídio (outros),Homicídio doloso,Taua,Tauá
89138671-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Recreio dos bandeirantes,Recreio dos Bandeirantes
09961201-2022,2022,Homicídio (outros),Homicídio doloso,Ipanema,Ipanema
22609821-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Costa barros,Costa Barros
76212631-2022,2022,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Taquara,Taquara
12977881-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
12977881-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
14782361-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Penha circular,Penha Circular
34095871-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Costa barros,Costa Barros
01373141-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bento ribeiro.,Bento Ribeiro
02554191-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Inhauma,Inhaúma
34762161-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Estacio,Estácio
76556911-2022,2022,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Penha,Penha
56961901-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Taquara - jacarepagua,Taquara
41573121-2022,2022,Homicídio (outros),Homicídio doloso,Leblon,Leblon
42434371-2022,2022,Homicídio (outros),Homicídio doloso,Cosmos,Cosmos
61790891-2022,2022,Homicídio (outros),Homicídio doloso,Cascadura,Cascadura
66538891-2022,2022,Homicídio (outros),Homicídio doloso,Meier,Méier
89293521-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Santa teresa,Santa Teresa
12894121-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cascadura,Cascadura
47728991-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Engenho de dentro,Engenho de Dentro
47728991-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Engenho de dentro,Engenho de Dentro
97625271-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Senador camara,Senador Camará
21305861-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Mare,Maré
25438631-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vicente de carvalho,Vicente de Carvalho
60006451-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vila do joao,Maré
19351731-2022,2022,Lesão Corporal Seguida de Morte (outros),Lesão corporal seguida de morte,Complexo da mare,Maré
36698141-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Ricardo de albuquerque,Ricardo de Albuquerque
54212591-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jardim america,Jardim América
88090051-2022,2022,Homicídio Provocado por Paulada,Homicídio doloso,Centro,Centro
91436101-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Maracana,Maracanã
72169572-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Leblon,Leblon
05552741-2022,2022,Homicídio (outros),Homicídio doloso,Portuguesa,Portuguesa
10978061-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Penha,Penha
32131731-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Rocha miranda,Rocha Miranda
09860841-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Manguinhos,Manguinhos
