"bairro";"ano";"n_mvi";"bairro_id";"periodo";"pct_area_dominacao_ada";"pct_area_dominacao_cv";"pct_area_dominacao_milicia";"pct_area_dominacao_tcp";"ips_2022_agua_saneamento";"ips_2022_pessoas_vivendo_em_favelas_nao_urbanizadas";"censo_2010_populacao_total";"censo_2010_rendimento_domiciliar_medio_brl";"fc_total_tiroteios";"fc_acao_policial"
"Oswaldo Cruz";"2023";"4";"59";"5";"0,000000000000000";"0,30071400000000";"6,7931439999999998";"0,00000000000000000";"94,2196026354141";"0,0488";"34040";"2330,83";"4";"1"
"Oswaldo Cruz";"2024";"2";"59";"6";"0,000000000000000";"0,30071400000000";"3,0942919999999998";"0,00000000000000000";"94,2196026354141";"0,0488";"34040";"2330,83";"0";"0"
"Santa Cruz";"2019";"25";"60";"1";"0,000000000000000";"0,37551100000000";"17,3927030000000009";"0,00000000000000000";"87,9377961693862";"0,0959";"217333";"1472,35";"15";"2"
"Santa Cruz";"2020";"19";"60";"2";"0,000000000000000";"0,37551100000000";"17,6902210000000011";"0,00000000000000000";"87,9377961693862";"0,0959";"217333";"1472,35";"16";"2"
"Santa Cruz";"2021";"34";"60";"3";"0,000000000000000";"0,37551100000000";"17,4882230000000014";"0,00000000000000000";"87,9377961693862";"0,0959";"217333";"1472,35";"34";"4"
"Santa Cruz";"2022";"26";"60";"4";"0,000000000000000";"0,06647100000000";"17,7086080000000017";"0,00000000000000000";"87,9377961693862";"0,0959";"217333";"1472,35";"20";"1"
"Santa Cruz";"2023";"53";"60";"5";"0,000000000000000";"0,02041800000000";"17,9624120000000005";"0,00000000000000000";"87,9377961693862";"0,0959";"217333";"1472,35";"31";"3"
"Santa Cruz";"2024";"38";"60";"6";"0,000000000000000";"0,02041800000000";"16,2858179999999990";"0,00000000000000000";"87,9377961693862";"0,0959";"217333";"1472,35";"21";"5"
"Magalhães Bastos";"2019";"10";"61";"1";"4,483497000000000";"0,00000000000000";"18,8365660000000013";"0,00000000000000000";"94,3112462339100";"0,2211";"24430";"1941,94";"6";"4"
"Magalhães Bastos";"2020";"3";"61";"2";"4,483497000000000";"0,00000000000000";"18,8365660000000013";"0,00000000000000000";"94,3112462339100";"0,2211";"24430";"1941,94";"2";"0"
"Magalhães Bastos";"2021";"4";"61";"3";"4,483497000000000";"0,00000000000000";"18,7404839999999986";"0,00000000000000000";"94,3112462339100";"0,2211";"24430";"1941,94";"2";"1"
"Magalhães Bastos";"2022";"5";"61";"4";"4,483497000000000";"0,00000000000000";"18,7404839999999986";"0,00000000000000000";"94,3112462339100";"0,2211";"24430";"1941,94";"4";"1"
"Magalhães Bastos";"2023";"0";"61";"5";"4,483497000000000";"0,00000000000000";"18,8365660000000013";"0,00000000000000000";"94,3112462339100";"0,2211";"24430";"1941,94";"2";"1"
"Magalhães Bastos";"2024";"3";"61";"6";"4,559466000000000";"0,00000000000000";"20,6350179999999988";"0,00000000000000000";"94,3112462339100";"0,2211";"24430";"1941,94";"1";"1"
"Senador Camará";"2019";"37";"62";"1";"0,424782934780985";"1,02597272183741";"0,2652466922590820";"13,88532870247045281";"94,5031757835731";"0,3656";"105515";"1527,66";"75";"27"
"Senador Camará";"2020";"16";"62";"2";"0,424782934780985";"1,02597272183741";"0,2652466922590820";"13,88532870247045281";"94,5031757835731";"0,3656";"105515";"1527,66";"34";"13"
"Senador Camará";"2021";"19";"62";"3";"0,302562035477546";"1,02597272183741";"0,2652466922590820";"14,00754960177389030";"94,5031757835731";"0,3656";"105515";"1527,66";"40";"17"
"Senador Camará";"2022";"17";"62";"4";"0,302562035477546";"1,02597272183741";"0,0849516801416563";"14,23018060974773924";"94,5031757835731";"0,3656";"105515";"1527,66";"27";"8"
"Senador Camará";"2023";"26";"62";"5";"0,302562035477546";"1,02597272183741";"0,0849516801416563";"14,23018060974773924";"94,5031757835731";"0,3656";"105515";"1527,66";"22";"7"
"Senador Camará";"2024";"17";"62";"6";"0,302562035477546";"1,02597272183741";"0,0426156842852357";"14,23018060974773924";"94,5031757835731";"0,3656";"105515";"1527,66";"10";"4"
"Cavalcanti";"2019";"12";"63";"1";"0,736554000000000";"0,00000000000000";"10,7079409999999999";"15,19945500000000038";"96,1215913642796";"0,1315";"16141";"1649,89";"20";"7"
"Cavalcanti";"2020";"5";"63";"2";"0,689526000000000";"0,00000000000000";"6,0986209999999996";"15,24648400000000059";"96,1215913642796";"0,1315";"16141";"1649,89";"5";"1"
"Cavalcanti";"2021";"8";"63";"3";"0,689526000000000";"0,00000000000000";"13,7872160000000008";"25,00461500000000115";"96,1215913642796";"0,1315";"16141";"1649,89";"6";"1"
"Cavalcanti";"2022";"2";"63";"4";"0,689526000000000";"0,00000000000000";"8,5158079999999998";"25,00461500000000115";"96,1215913642796";"0,1315";"16141";"1649,89";"8";"2"
"Cavalcanti";"2023";"10";"63";"5";"0,689526000000000";"0,00000000000000";"3,7992360000000001";"25,00461500000000115";"96,1215913642796";"0,1315";"16141";"1649,89";"6";"3"
"Cavalcanti";"2024";"12";"63";"6";"0,689526000000000";"0,00000000000000";"3,7992360000000001";"25,00461500000000115";"96,1215913642796";"0,1315";"16141";"1649,89";"13";"9"
"Campo dos Afonsos";"2019";"0";"64";"1";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"0,00000000000000000";"99,8500831693263";"0,0000";"1365";"6185,07";"0";"0"
"Campo dos Afonsos";"2020";"0";"64";"2";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"0,00000000000000000";"99,8500831693263";"0,0000";"1365";"6185,07";"0";"0"
"Campo dos Afonsos";"2021";"0";"64";"3";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"0,00000000000000000";"99,8500831693263";"0,0000";"1365";"6185,07";"1";"0"
"Campo dos Afonsos";"2022";"0";"64";"4";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"0,00000000000000000";"99,8500831693263";"0,0000";"1365";"6185,07";"0";"0"
"Campo dos Afonsos";"2023";"1";"64";"5";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"0,00000000000000000";"99,8500831693263";"0,0000";"1365";"6185,07";"0";"0"
"Campo dos Afonsos";"2024";"0";"64";"6";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"0,00000000000000000";"99,8500831693263";"0,0000";"1365";"6185,07";"0";"0"
"Higienópolis";"2019";"2";"65";"1";"0,000000000000000";"0,99544400000000";"1,5938909999999999";"0,00000000000000000";"99,1708152840529";"0,1291";"15734";"2881,83";"3";"2"
"Higienópolis";"2020";"2";"65";"2";"0,000000000000000";"0,99544400000000";"1,5938909999999999";"0,00000000000000000";"99,1708152840529";"0,1291";"15734";"2881,83";"0";"0"
